    PID TTY          TIME CMD
      1 ?        00:00:03 systemd
      2 ?        00:00:00 kthreadd
      3 ?        00:00:00 rcu_gp
      4 ?        00:00:00 rcu_par_gp
      5 ?        00:00:00 slub_flushwq
      6 ?        00:00:00 netns
      8 ?        00:00:00 kworker/0:0H-events_highpri
     10 ?        00:00:00 mm_percpu_wq
     11 ?        00:00:00 rcu_tasks_kthread
     12 ?        00:00:00 rcu_tasks_rude_kthread
     13 ?        00:00:00 rcu_tasks_trace_kthread
     14 ?        00:00:00 ksoftirqd/0
     15 ?        00:00:06 rcu_preempt
     16 ?        00:00:00 migration/0
     18 ?        00:00:00 cpuhp/0
     19 ?        00:00:00 cpuhp/1
     20 ?        00:00:00 migration/1
     21 ?        00:00:00 ksoftirqd/1
     23 ?        00:00:00 kworker/1:0H-events_highpri
     24 ?        00:00:00 cpuhp/2
     25 ?        00:00:00 migration/2
     26 ?        00:00:00 ksoftirqd/2
     28 ?        00:00:00 kworker/2:0H-events_highpri
     29 ?        00:00:00 cpuhp/3
     30 ?        00:00:00 migration/3
     31 ?        00:00:00 ksoftirqd/3
     33 ?        00:00:00 kworker/3:0H-events_highpri
     38 ?        00:00:00 kdevtmpfs
     39 ?        00:00:00 inet_frag_wq
     40 ?        00:00:00 kauditd
     41 ?        00:00:00 khungtaskd
     42 ?        00:00:00 oom_reaper
     43 ?        00:00:00 writeback
     44 ?        00:00:03 kcompactd0
     45 ?        00:00:00 ksmd
     46 ?        00:00:02 khugepaged
     47 ?        00:00:00 kintegrityd
     48 ?        00:00:00 kblockd
     49 ?        00:00:00 blkcg_punt_bio
     50 ?        00:00:00 tpm_dev_wq
     51 ?        00:00:00 edac-poller
     52 ?        00:00:00 devfreq_wq
     54 ?        00:00:00 kworker/3:1H-kblockd
     55 ?        00:00:00 kswapd0
     63 ?        00:00:00 kthrotld
     65 ?        00:00:00 acpi_thermal_pm
     66 ?        00:00:00 mld
     67 ?        00:00:00 kworker/2:1H-kblockd
     68 ?        00:00:00 ipv6_addrconf
     73 ?        00:00:00 kstrp
     78 ?        00:00:00 zswap-shrink
     79 ?        00:00:00 kworker/u9:0
    133 ?        00:00:00 kworker/0:1H-kblockd
    134 ?        00:00:00 kworker/1:1H-kblockd
    152 ?        00:00:00 ata_sff
    153 ?        00:00:00 scsi_eh_0
    154 ?        00:00:00 scsi_tmf_0
    155 ?        00:00:00 scsi_eh_1
    156 ?        00:00:00 scsi_tmf_1
    157 ?        00:00:00 scsi_eh_2
    158 ?        00:00:00 scsi_tmf_2
    207 ?        00:00:02 jbd2/sda1-8
    208 ?        00:00:00 ext4-rsv-conver
    253 ?        00:00:01 systemd-journal
